"","GAP"
"1375",21924.2666666667
"1376",30165.9
"1377",25174.2666666667
"1378",26863
"1379",33315.0666666667
"1380",27043.1666666667
"1381",26328.2
"1382",34564.7666666667
"1383",35585.3666666667
"1384",26605.4
"1385",16666.9
"1386",17456.3666666667
"1387",45231.4
"1388",32099.6333333333
"1389",28799.4
"1390",22586.6333333333
"1391",27814.8666666667
"1392",38220.6
"1393",39883.2
"1394",19388.2
"1395",15765.0666666667
"1396",21004.6333333333
"1397",24388.7666666667
"1398",20073.7
"1399",35878.3333333333
"1400",24607.1666666667
"1401",23053
"1402",19851.3666666667
"1403",21554.9666666667
"1404",42585.7666666667
"1405",28934.8
"1406",30090.1333333333
"1407",27896.9333333333
"1408",30425.6666666667
"1409",33701.6333333333
"1410",32442.2333333333
"1411",29559.8666666667
"1412",30613.7
"1413",33719.5666666667
"1414",33973.2
"1415",29123.0333333333
"1416",25162.4666666667
"1417",26367.2
"1418",27535.8666666667
"1419",26173.3333333333
"1420",36616.7666666667
"1421",15015.1666666667
"1422",34025.6
"1423",26292.2666666667
"1424",29937.4666666667
"1425",23852.7333333333
"1426",24801.7333333333
